frame,pid,proba,pred,alert,x1,y1,x2,y2
0,1,0.02948639914393425,0,0,43.20357894897461,21.121124267578125,90.34432220458984,150.09698486328125
8,1,0.18388520181179047,0,0,34.39068603515625,17.49433135986328,81.60985565185547,136.35769653320312
16,1,0.1971413493156433,0,0,25.079809188842773,15.690479278564453,72.16246795654297,129.55361938476562
24,1,0.39851832389831543,0,0,16.16246795654297,14.770145416259766,65.54428100585938,120.22236633300781
32,1,0.21196812391281128,0,0,15.898721694946289,10.131706237792969,60.24088668823242,119.42369842529297
40,1,0.18933869898319244,0,0,16.79029083251953,10.97988510131836,53.85138702392578,116.7333755493164
48,1,0.26348087191581726,0,0,14.460107803344727,8.712515830993652,48.51987075805664,97.90359497070312
56,1,0.07088760286569595,0,0,12.14750862121582,8.949417114257812,46.31229782104492,114.27442932128906
80,1,0.15035760402679443,0,0,17.09186363220215,2.97601318359375,48.335758209228516,81.21276092529297
88,1,0.08813193440437317,0,0,21.382884979248047,2.3639488220214844,54.658382415771484,80.995361328125
104,2,0.0,0,0,519.7778930664062,316.1748962402344,713.4171752929688,479.9132080078125
136,2,0.0,0,0,525.7507934570312,316.08245849609375,714.363525390625,479.8888854980469
208,2,0.5770936012268066,1,0,518.0830078125,316.4424133300781,714.016845703125,479.9169616699219
272,1,0.220355823636055,0,0,24.205541610717773,13.026912689208984,57.63734817504883,104.76695251464844
280,1,0.29007551074028015,0,0,31.167253494262695,8.954269409179688,73.90656280517578,105.27186584472656
288,1,0.3887534737586975,0,0,45.4464111328125,10.76993179321289,82.00170135498047,110.39163970947266
296,1,0.170750230550766,0,0,61.59407424926758,8.4913330078125,95.90045928955078,110.51978302001953
304,1,0.7104814052581787,1,0,67.13724517822266,7.954673767089844,120.11775970458984,110.46553802490234
312,1,0.055727533996105194,0,0,92.61984252929688,4.838459014892578,128.29190063476562,113.73026275634766
320,1,0.5374689698219299,1,0,102.14653015136719,6.628612518310547,145.7032470703125,114.09617614746094
328,1,0.08619970828294754,0,0,124.131591796875,4.891078948974609,158.01878356933594,114.41934204101562
336,1,0.7711127400398254,1,0,128.96690368652344,6.170402526855469,188.99026489257812,116.88739776611328
344,1,0.6689010858535767,1,0,151.6657257080078,3.9717864990234375,206.0996856689453,117.79473114013672
352,1,0.8457858562469482,1,1,168.62173461914062,8.49114990234375,228.84457397460938,128.85960388183594
360,1,0.5785455107688904,1,0,186.5210723876953,7.428852081298828,228.7522430419922,127.5239486694336
368,1,0.3310936689376831,0,0,199.96092224121094,10.043128967285156,251.92140197753906,131.7194366455078
376,1,0.5090963244438171,1,0,205.16148376464844,13.277812957763672,267.209228515625,140.84030151367188
384,1,0.17997166514396667,0,0,232.4487762451172,8.468353271484375,286.0357666015625,143.5775604248047
392,1,0.13300834596157074,0,0,240.3647918701172,12.966808319091797,296.8188171386719,155.69947814941406
