split,image,class_id,class_name,img_W,img_H,x_center,y_center,width,height,aspect_bbox,area_bbox,angle_deg,aspect_pose,pose_w,pose_h,pose_area,var_x,var_y,std_x,std_y,center_y,center_y_rel,shoulder_width,hip_width,shoulder_hip_ratio,torso_len,body_len_est,head_rel_height,thigh_angle_L,thigh_angle_R,shank_angle_L,shank_angle_R,upperarm_L,upperarm_R,num_kp,num_kp_vis,mean_vis,vy_hps
train,train/images/ch02_cam2_f000424_lbl1_jpg.rf.75549c27ccc3d8bba515c2c688eec484.jpg,0,Fall,720,480,0.4125,0.39791666666666664,0.16944444444444445,0.2875,0.589369930693961,0.048715277777777774,2.414154918223591,0.6754929330193223,71.3907470703125,105.6868896484375,7545.06600753963,289.98138427734375,1513.789794921875,17.028839111328125,38.90745162963867,195.21514892578125,-0.244628444314003,14.720722198486328,12.043684005737305,1.2222772508143274,52.3991813659668,104.3454360961914,-0.7036043405532837,9.910021813005743,21.643319747188443,78.27270755527215,78.09691488637014,8.907375643505343,1.7262365864299212,17.0,17.0,0.787059485912323,
train,train/images/ch13_cam5_f000735_lbl0_jpg.rf.09bc838cac06708730d0656d27965f2f.jpg,1,Normal,720,480,0.40947222222222224,0.658875,0.23055555555555557,0.20031249999999995,1.1509736266180544,0.046183159722222214,86.04192625170576,2.525402640650539,151.35691833496094,59.93377685546875,9071.391769018956,2362.09033203125,259.9800720214844,48.601341247558594,16.123897552490234,323.35455322265625,-0.254833459854126,26.98434066772461,11.148931503295898,2.420351962822214,60.1810188293457,124.97937393188477,-0.21670442819595337,24.092717923864644,49.08181284208613,76.58599908531251,61.71869147268916,42.330181562605155,34.74881365811429,17.0,17.0,0.7040494084358215,
train,train/images/ch02_cam3_f000374_lbl0_jpg.rf.883958b977025cfd20523377e08708ac.jpg,1,Normal,720,480,0.3854166666666667,0.315625,0.10694444444444444,0.3645833333333333,0.2933325287641116,0.038990162037037035,9.006877156231168,0.39400621632215993,56.71699523925781,143.94949340820312,8164.3827323266305,277.679443359375,2193.75732421875,16.66371726989746,46.837562561035156,136.5786895751953,-0.12573423981666565,26.13584327697754,20.427814483642578,1.2794242878248836,49.34356689453125,141.23199462890625,-0.48946160078048706,1.7672623093124242,30.2579013418352,20.44952581400915,3.691285192454223,3.4212202420557607,19.974107796287644,17.0,17.0,0.7791222333908081,
train,train/images/ch13_cam4_f000706_lbl0_jpg.rf.51c3e7da175535fe5ee1e1861379d325.jpg,1,Normal,720,480,0.45420833333333327,0.2588333333333333,0.16599999999999998,0.10481249999999998,1.5837654500612994,0.017398874999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,train/images/ch19_cam8_f000583_lbl1_jpg.rf.df47174c889d4d7b7ec4e901897f9868.jpg,0,Fall,720,480,0.4894583333333334,0.3388125,0.24559722222222227,0.15679166666666663,1.5663820728577165,0.03850759780092593,55.478014001225105,2.0920855830393283,147.39569091796875,70.45394897460938,10384.608487011865,2856.953369140625,563.42333984375,53.450477600097656,23.736539840698242,165.81959533691406,-0.16551880538463593,11.047078132629395,3.3638269901275635,3.284079377736097,65.33125305175781,154.5625991821289,-0.40913504362106323,62.3809262134839,57.3579432735052,79.40683463534883,75.37711833268061,22.08336303829667,24.725770805412793,17.0,17.0,0.48955267667770386,
train,train/images/ch20_cam4_f000428_lbl0_jpg.rf.118271929bad34c20277aefa3aa2954d.jpg,1,Normal,720,480,0.44166666666666665,0.3,0.08055555555555556,0.2791666666666667,0.2885561802962696,0.02248842592592593,23.681788352021595,0.39324486417291105,40.26263427734375,102.38565826416016,4122.316313934978,138.0045623779297,1121.484619140625,11.74753475189209,33.48857498168945,128.4582977294922,-0.046711698174476624,4.815008640289307,5.564388751983643,0.865325553188076,36.10435485839844,101.24299621582031,-0.3598770201206207,0.2712081891747582,21.9674189404062,14.462885068253904,0.8188637554935378,1.6714428383663018,5.318316798040531,17.0,17.0,0.7084396481513977,
train,train/images/ch09_cam7_f000621_lbl0_jpg.rf.cdeb5c038d72d879e96edbefcf57795d.jpg,1,Normal,720,480,0.2259722222222222,0.3656041666666667,0.11102777777777778,0.299375,0.37086398969115025,0.03323894097222222,15.278546328811062,0.7031975990837729,64.17633056640625,91.26358032226562,5856.961699435487,385.8584289550781,803.8731689453125,19.643280029296875,28.352657318115234,160.5906982421875,-0.05828842893242836,33.15657043457031,19.68714141845703,1.684173849602747,31.465158462524414,78.60026931762695,-0.29000893235206604,38.11451051925878,33.32204759364692,23.60895366863858,6.051876589413757,10.760358614606732,45.556471365347235,17.0,17.0,0.8408883810043335,
train,train/images/ch23_cam4_f000714_lbl0_jpg.rf.2b84847d8d507929661a96a59f9b1851.jpg,1,Normal,720,480,0.44930555555555557,0.4197916666666667,0.08194444444444444,0.21458333333333332,0.3818752430409386,0.017583912037037037,62.86197871730718,0.4573862760329098,33.270294189453125,72.74003601074219,2420.082397428807,134.79127502441406,492.040771484375,11.609964370727539,22.181991577148438,195.86434936523438,0.2599833011627197,30.308412551879883,20.479982376098633,1.4799041578935856,5.5315423011779785,49.47666931152344,0.12528102099895477,25.922280479088386,0.4904704292565331,16.462787802062763,3.1766626047442803,3.1761376500501397,6.157940863347547,17.0,17.0,0.6051126718521118,
train,train/images/ch18_cam3_f000618_lbl0_jpg.rf.82ff4caa665d22ff6ba43e8818d9655a.jpg,1,Normal,720,480,0.8569444444444444,0.2791666666666667,0.07777777777777778,0.19583333333333333,0.3971610925107333,0.015231481481481481,8.503192469902423,0.5528144623916346,38.353759765625,69.37908172607422,2660.948633281514,122.974609375,476.5528259277344,11.089391708374023,21.830089569091797,125.85990905761719,-0.1414555460214615,21.232297897338867,14.671154975891113,1.447213698240928,25.394487380981445,65.14375305175781,-0.46211451292037964,40.66856653928209,68.91903080120876,10.759897389781209,3.5013638611754176,5.1081917008263495,38.81174631563269,17.0,17.0,0.7692512273788452,
train,train/images/ch20_cam8_f000353_lbl0_jpg.rf.532b2859870fc193215627610650c0f8.jpg,1,Normal,720,480,0.6152777777777778,0.18229166666666666,0.10555555555555556,0.28125,0.3753073075493263,0.0296875,12.935946148674725,0.5722168984298093,63.502197265625,110.97574615478516,7047.203724021092,342.9756164550781,1330.9906005859375,18.519601821899414,36.48274230957031,75.56017303466797,-0.10173766314983368,31.339614868164062,20.086732864379883,1.560214571455994,37.881412506103516,108.48006820678711,-0.4495680332183838,13.739957119995559,18.06577700628256,19.421448198959716,10.699782310838852,14.68101872111081,42.193974135646826,17.0,17.0,0.9126655459403992,
