frame,pid,proba,pred,alert,x1,y1,x2,y2
0,1,0.02684914693236351,0,0,54.64995574951172,21.207103729248047,100.28695678710938,161.71343994140625
0,2,0.10746624320745468,0,0,10.707816123962402,8.895252227783203,42.3952751159668,115.40753936767578
8,1,0.047263387590646744,0,0,52.772769927978516,22.214996337890625,100.01557922363281,160.2594757080078
16,1,0.25613439083099365,0,0,46.75423049926758,21.660564422607422,94.87628936767578,152.61175537109375
24,1,0.012339894659817219,0,0,44.040435791015625,18.317550659179688,84.30459594726562,151.0545654296875
32,1,0.005597048904746771,0,0,49.92894744873047,15.849769592285156,83.17593383789062,151.2478485107422
40,1,0.0064874859526753426,0,0,51.33988952636719,13.89554214477539,83.8158187866211,145.07955932617188
48,1,0.006939768325537443,0,0,51.667545318603516,12.27011489868164,83.8763198852539,141.96453857421875
56,1,0.0071689290925860405,0,0,50.96942138671875,12.35958480834961,83.45171356201172,138.5321044921875
64,1,0.08031381666660309,0,0,46.048179626464844,13.305885314941406,83.52130889892578,136.9632110595703
72,1,0.11968575417995453,0,0,34.08083724975586,14.578720092773438,80.82711029052734,134.73753356933594
80,1,0.158397376537323,0,0,27.93072509765625,15.634952545166016,67.63490295410156,129.78810119628906
88,1,0.15530051290988922,0,0,21.292213439941406,16.142841339111328,63.9052848815918,129.82118225097656
96,1,0.2430202215909958,0,0,20.939334869384766,12.266029357910156,57.458133697509766,114.10645294189453
104,1,0.1909005045890808,0,0,16.56269073486328,10.023021697998047,51.02466583251953,110.46611785888672
112,1,0.23739880323410034,0,0,13.63641357421875,10.319618225097656,46.070884704589844,107.53146362304688
128,1,0.04565737396478653,0,0,9.747011184692383,9.156635284423828,39.6009407043457,117.02465057373047
152,1,0.0543874092400074,0,0,0.06510543823242188,1.1908721923828125,39.55146789550781,124.8357925415039
160,1,0.004943687003105879,0,0,0.0,0.0,22.299192428588867,99.81306457519531
160,3,0.3327336013317108,0,0,526.3207397460938,316.4495544433594,713.5768432617188,479.9651184082031
304,3,0.4003770053386688,0,0,524.3728637695312,318.7131042480469,713.8778686523438,479.9541320800781
320,3,0.07621051371097565,0,0,525.8870239257812,317.7944030761719,713.8880004882812,479.90838623046875
328,4,0.18751199543476105,0,0,15.339174270629883,13.735393524169922,48.4957160949707,109.54161071777344
336,4,0.23879118263721466,0,0,20.875900268554688,11.56212329864502,57.38508224487305,102.53892517089844
344,4,0.5710033774375916,1,0,28.54685401916504,13.654186248779297,70.97891235351562,107.43089294433594
352,4,0.1359734833240509,0,0,33.82284164428711,14.045242309570312,70.62914276123047,110.07591247558594
360,4,0.197021946310997,0,0,40.366859436035156,13.977813720703125,81.9716796875,118.53495025634766
368,4,0.07694679498672485,0,0,45.89519119262695,13.454532623291016,86.95052337646484,122.79376220703125
376,4,0.28688517212867737,0,0,50.9725341796875,16.263336181640625,96.76053619384766,125.47265625
384,4,0.1910218745470047,0,0,50.824676513671875,18.872955322265625,102.90330505371094,135.83241271972656
392,4,0.23626066744327545,0,0,57.31438064575195,20.763107299804688,108.92610931396484,145.56130981445312
400,4,0.07632245868444443,0,0,64.71186065673828,22.376724243164062,117.63908386230469,156.10255432128906
408,4,0.2378089725971222,0,0,70.1764907836914,25.281005859375,133.27926635742188,158.7103729248047
416,4,0.18575552105903625,0,0,75.6258316040039,32.124629974365234,143.4951934814453,175.37474060058594
424,4,0.10823087394237518,0,0,80.19552612304688,33.436912536621094,146.50534057617188,187.49159240722656
432,4,0.08362747728824615,0,0,90.7883529663086,41.20854949951172,159.9602508544922,212.34957885742188
440,4,0.07830863445997238,0,0,101.45661163330078,34.13008499145508,185.17054748535156,220.42250061035156
448,4,0.16285116970539093,0,0,112.12712860107422,53.63990020751953,207.80787658691406,257.546875
456,4,0.040148403495550156,0,0,126.85455322265625,57.3907470703125,211.01043701171875,258.5038146972656
464,4,0.07525147497653961,0,0,146.32296752929688,72.43272399902344,243.64022827148438,284.90631103515625
472,4,0.10094243288040161,0,0,172.32508850097656,77.49639129638672,267.0696105957031,293.8209228515625
480,4,0.22549812495708466,0,0,200.3525848388672,93.51065826416016,319.2544860839844,336.85516357421875
488,4,0.0313766673207283,0,0,241.9196319580078,109.67605590820312,327.2242431640625,348.3355407714844
496,4,0.138286292552948,0,0,266.9877624511719,125.19147491455078,378.0265808105469,353.3393249511719
504,4,0.8993396759033203,1,0,277.72430419921875,144.70945739746094,433.4801330566406,368.2269287109375
